star_name,Nobs,model_offset_transition,err_stat_transition,err_sys_transition,chisq_nu_transition
HD207129,20,-5.4814338773207085,3.1035958085874293,14.491570009819139,1.5520641424030657
HD20766,0,nan,nan,nan,nan
HD20782,6,9.988915034281092,6.4550048079433155,14.491570009819139,1.0069197465163637
HD20807,57,-6.858227901796635,1.841466449395967,14.491570009819139,1.4998394983120495
HD208704,0,nan,nan,nan,nan
HD210918,56,9.357795353497323,1.5400737766604322,14.491570009819139,1.738194248630114
HD211415,17,12.043389187762521,3.2158039047835296,14.491570009819139,1.20210996817912
HD212708,0,nan,nan,nan,nan
HD213575,0,nan,nan,nan,nan
HD217014,0,nan,nan,nan,nan
HD220507,8,-0.2500339878168926,5.796336623125844,14.491570009819139,1.2111305923682845
HD222582,0,nan,nan,nan,nan
HD222669,1,-26.932437167045236,21.61090520914084,14.491570009819139,nan
HD28821,0,nan,nan,nan,nan
HD30495,0,nan,nan,nan,nan
HD31527,1,20.566434358069273,17.875435617749993,14.491570009819139,nan
HD32724,0,nan,nan,nan,nan
HD361,0,nan,nan,nan,nan
HD37962,0,nan,nan,nan,nan
HD38277,0,nan,nan,nan,nan
HD38858,16,7.87779497394308,2.4995019200954354,14.491570009819139,2.597052456887309
HD38973,0,nan,nan,nan,nan
HD39091,12,8.776452168412993,4.166499409610575,14.491570009819139,1.056046445562121
HD43587,0,nan,nan,nan,nan
HD43834,0,nan,nan,nan,nan
HD4391,0,nan,nan,nan,nan
HD44420,0,nan,nan,nan,nan
HD44447,0,nan,nan,nan,nan
HD44594,0,nan,nan,nan,nan
HD45184,7,-4.879838801200513,4.906886621311719,14.491570009819139,1.0617211298275475
HD45289,0,nan,nan,nan,nan
HD47186,2,34.02148208836783,11.822063774952206,14.491570009819139,2.863877679286211
HD4915,0,nan,nan,nan,nan
HD55693,0,nan,nan,nan,nan
HD59468,2,12.089996273449701,9.568759150032461,14.491570009819139,4.4378686356625785
HD65907,174,-8.780993785683552,1.0371313496944832,14.491570009819139,1.265632970990314
HD6735,0,nan,nan,nan,nan
HD67458,0,nan,nan,nan,nan
HD68168,0,nan,nan,nan,nan
HD68978,3,-22.659610054124418,8.961486435024796,14.491570009819139,4.5563505047043655
HD69655,0,nan,nan,nan,nan
HD69830,8,-9.350852376338574,4.0426147973854745,14.491570009819139,2.3915223643055117
HD70642,0,nan,nan,nan,nan
HD70889,0,nan,nan,nan,nan
HD7134,0,nan,nan,nan,nan
HD72769,0,nan,nan,nan,nan
HD73256,0,nan,nan,nan,nan
HD73524,33,4.981516066822302,2.6108541172076123,14.491570009819139,0.8423564150166704
HD7449,2,-32.130016171523195,13.653401041261347,14.491570009819139,0.025997962305121577
HD76151,0,nan,nan,nan,nan
HD78429,33,-14.747756025581484,2.927430460545666,14.491570009819139,0.9326415016645265
HD78558,0,nan,nan,nan,nan
HD78660,0,nan,nan,nan,nan
HD82943,32,25.57511059975619,2.4204863960824756,14.491570009819139,1.3139673011669728
