star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD171665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD172051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177565,2.364751248813935,2.298858625258984,2.6270000998112915,3.221134519306058,3.208296392144899,3.326910884729106,1.6220559981283718,1.8751438427810618,2.218006991768379,2.1419630980510393,2.3852170479482226,3.753073250270772,2.6902206044693835,2.2035218846501476,4.035842672579446,2.528102864053187,2.4642077190268945,1.8751659489555306,1.8975901190108508,2.520438232700925
HD1835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD183658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD184768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD189567,8.443769924981256,10.687747997549096,14.518708162581731,19.634958838486597,22.57816754113641,23.025437249032038,7.56525028748937,7.093706553634653,6.976588782331536,7.2482808729960615,7.857479489830895,26.304355485054163,17.101386050340523,12.305667680606412,27.942978172855668,15.43434615739531,14.84086997232074,8.846907146196768,8.382089420472719,21.243336462799036
HD189625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD190248,0.534767906149091,0.6817845979889687,0.5477590789400948,0.7562880091377885,0.6244820441115037,0.7228602455117126,0.4520603843247118,0.45364733298769816,0.5621671557104424,0.520981873790578,0.6018349733659157,0.6895897903770396,0.5907798584540638,0.500616494135719,0.7255048291688606,0.5318802434767393,0.5048476121820396,0.4075217165119052,0.4640081351537304,0.4868295676127738
HD19467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD196761,6.367132346856273,8.084372517468466,8.341543412883288,13.943221329118149,14.565972126723961,15.89395670396194,6.9051616189324125,6.050259870052387,6.134854669814116,6.075902025615223,6.3700222912886515,16.50603128393083,10.119362481058575,7.705496943617435,17.341853007396264,9.32932404148725,10.587471779166362,7.109937648612588,5.8245595505438335,9.39392647745909
HD197818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD199960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD203432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20407,6.502194107949964,7.56362312334051,15.16054148663674,20.712934748221915,24.584401534720357,26.15515031489128,6.009812235524046,5.188413363410541,5.908175123760527,6.030970138554485,5.203501961069863,24.844222980803245,15.698489078389992,12.865363607726266,25.148025257010286,13.360730486493559,13.603332849177496,9.02020678085167,9.83291732395481,34.102846692706116
HD204385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD205536,10.568521416901463,11.885711981568363,11.710473805138491,21.149229644224427,15.345364077458992,17.75269569112388,7.343904513776376,8.857034802329762,9.873279054302177,11.700001467518693,13.048895027878373,17.291209240108973,13.064405769578363,12.707287838002351,18.116438952960134,14.108137260403868,11.369151686691788,10.36632017142908,9.159053198056833,10.714259045758379
HD20619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD2071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD207129,5.16936812883509,5.881522273813446,9.247761194600693,11.07514694105065,12.197820013586258,12.386824269640137,4.5209558724356285,4.2051905849309,4.144499254783417,4.749257783699932,5.214028817085891,13.365608676290266,9.06116933562539,6.9062544297107005,14.036008518044541,7.739369908105101,7.515366667278227,4.854194399010912,5.7975225334056555,15.092211186091792
HD20766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20782,10.061491729014051,12.421876091480161,16.228510703309663,19.746036217597194,19.45876103997773,21.680171434338888,11.333812164221879,8.242975623503582,8.7114856762036,8.780004006373183,9.110630475343918,23.40625404018762,15.298797421697799,11.716060996312914,24.565383724032237,13.8182618207218,13.211342817787662,8.80829261857069,9.28668836215563,18.999116844262097
HD20807,3.0415847702156054,3.5630991018738642,5.80146448152836,7.43553725866255,8.251279201254382,8.960079168649383,2.3831128634330367,2.540335639814541,2.6175396920791707,2.56165268266325,2.8573522075225912,10.572528037870766,6.4745771964763925,4.914532272706511,11.015306495024603,5.83901223193225,5.549695924044852,3.47836693198134,3.424023415333126,10.203939655413915
HD208704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD210918,2.348710836439037,2.8226361266686975,3.6236861094331,4.916398280449242,4.487126504525549,5.159519339103237,2.1769060481366678,2.3336013657583643,2.4554198328719306,2.45855064650957,2.540593356939527,6.712799992432148,4.297223955109704,3.2778175845824875,7.009364723209468,3.9329007513579697,3.8176277908604797,2.459429462927319,2.501282210786443,4.94395556565114
HD211415,5.116973126418712,6.423922187752643,10.630441117031308,15.334028734866418,15.184187574617523,15.501583314381431,11.169536803322275,5.058311655043808,4.775993755211419,4.382215878176133,5.420283601194388,18.153647320800236,10.745195721113763,8.117808198466262,19.183385189922433,9.42400188605632,9.151271453428505,5.805050845576461,9.136813380519056,18.228263673712608
HD212708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD213575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD217014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
