star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD171665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD172051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177565,56402.536834708706,56429.38749307099,72514.79718187841,72513.46213827183,12532.38349691478,12540.210579057439,272195.52463358646,739564.2851019779,704382.0695548843,756927.7356546933,52545.89398966844,126966.92767897074,444541.8134155985,721214.7571184594,317576.0923366234,276673.78921400977,611980.1751791376,335306.17351510946,442032.5815688401,118208.77442190357
HD1835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD183658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD184768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD189567,56386.182390245885,56402.5783119077,72499.770170491,72485.46504979883,12486.550966642579,12474.960808508004,272210.9182709817,739531.9116689748,704332.1359958211,756877.5916483973,52546.43883861165,126939.32577101566,444522.8113094712,721211.632701847,317585.7601055704,276688.2609516928,611990.8643821735,335304.0317859342,442038.3653782432,118235.45260707622
HD189625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD190248,56426.896693152026,56466.909006825714,72506.73942774236,72511.04736149593,12548.83053210726,12558.343360308007,272233.49027260114,739585.1697976706,704422.2514996061,756951.5660335857,52529.41088440417,127037.16572204404,444612.5433963079,721226.6703465334,317575.92711121676,276614.0974527201,611912.495231448,335298.3747578848,442097.5030721084,118232.9487959538
HD19467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD196761,56352.588222477694,56400.8134504927,72505.70081345913,72534.70370151343,12532.617014990405,12566.005441483565,272215.61716811033,739554.6651878267,704366.6513826582,756923.8063270898,52558.154359865344,126826.90537053542,444437.66194175446,721200.8465183218,317608.8794930661,276763.2471727658,612104.8152537782,335341.35739513946,442051.3079319687,118189.63436464439
HD197818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD199960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD203432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20407,56380.83145362524,56390.39129626346,72524.25713511139,72477.53113961799,12513.261707264739,12482.666594691302,272197.5195466602,739501.0599646425,704308.1998045234,756860.6590040607,52558.497042472794,126929.94392825993,444523.3994779939,721209.280444205,317588.9932707684,276684.6304636,611981.1876216375,335298.51968778064,442025.75440374523,118236.21195102665
HD204385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD205536,56394.163118359524,56409.2526076598,72509.27862243693,72538.83168361978,12557.672400491692,12548.841496757048,272231.4163262674,739570.3580380714,704391.5636932221,756913.9336220127,52524.53989520727,126914.28002009068,444506.8186009019,721202.1626128086,317592.74242518545,276689.81861286756,612019.9575882435,335318.8442378604,442070.94753033033,118202.01736402362
HD20619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD2071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD207129,56421.054040599236,56440.794494225906,72515.86145724375,72496.3243790966,12494.314219242739,12471.262899289004,272176.4761360873,739528.1596373024,704328.917467014,756871.5243708722,52546.425696600774,127001.31264795993,444566.52262568707,721224.704455203,317559.8441713267,276658.26539881894,611958.5946461697,335298.1059295842,442001.09298482386,118233.40617540857
HD20766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20782,56402.108969950015,56415.429886349724,72503.12794099339,72518.81989775012,12522.278112296091,12484.878759775409,272183.20243924024,739549.9647064095,704351.6865850842,756889.8086305985,52538.65283953451,127012.36236846315,444571.329839972,721225.9520266567,317558.1300886678,276655.3607237148,611962.3032249049,335307.70140087494,442013.5665548128,118195.76602905251
HD20807,56393.21369168102,56420.95179789855,72495.72247485779,72513.16948196269,12482.009048301436,12492.959887275309,272188.71579142456,739528.153602551,704324.9101165965,756871.4987902825,52546.633453677736,126939.52734007876,444514.128953307,721192.352885752,317573.9285101689,276681.2060259418,611994.2468341423,335313.4283814608,442018.05423061026,118248.19694370183
HD208704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD210918,56397.7278608403,56422.10327793075,72503.16042971984,72519.79103745213,12501.444882849179,12506.694461389208,272214.87267004355,739545.7727390662,704336.7815746305,756880.0506751612,52543.362193431385,127002.41483401218,444560.84964986396,721217.2817741384,317554.9828440053,276656.5699756954,611961.3556121252,335304.04522067076,442047.4801190508,118228.81390825952
HD211415,56395.31288113793,56421.88292772932,72495.32465380101,72521.4664605762,12466.638665647102,12497.207110048166,272209.68384867697,739519.6402002185,704333.1816058233,756880.4823523818,52544.75290866692,127002.53977294252,444561.89864306635,721222.5500861555,317561.37723550684,276660.8561592168,611971.3461781734,335310.0363204521,442027.5449315232,118255.04076766732
HD212708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD213575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD217014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD220507,56419.51324740332,56424.5286542151,72505.49354525116,72497.79598954212,12530.144498438072,12548.094460536753,272232.8721581025,739536.3661797494,704356.9326428967,756896.1659691178,52540.06394799647,126988.68993665013,444553.32834466244,721213.9245480046,317568.1307573462,276662.9559658812,611943.0157134922,335283.95890591707,442079.8396447439,118210.19625636697
