star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD172051,56382.04445607148,56388.761368692474,72511.83625647357,72520.20155729601,12507.966248086866,12507.49112289568,272233.8147955092,739601.8936423521,704346.6624609781,756906.8488992341,52559.62541666092,126889.75048479016,444482.8460204514,721208.3769361482,317590.9133436441,276724.03573431825,612062.8513524737,335333.45797865617,442045.98304822703,118207.21556816791
HD177409,56395.541357461276,56386.18411879171,72457.44334799201,nan,12550.484524945809,nan,272190.5534489958,739580.1177560542,704314.2070669635,756888.238017855,52574.1089103348,127002.0443825669,444509.8782778593,721235.5574835811,317507.8837544854,276725.9259840391,612047.6577658212,335321.8897594133,441941.8917998242,118420.31252253475
HD177565,56407.532882797525,56432.22725339303,72525.72208491029,72522.59681744919,12530.322181585554,12551.015782727678,272222.24224344775,739611.7120616037,704387.6861280251,756935.4937715007,52546.71236284936,126957.73988399585,444531.6003851809,721215.7602494318,317569.419229844,276686.35085316905,612004.387980672,335322.2827594368,442044.1926672468,118211.32258612382
HD1835,nan,nan,72681.45533430898,72460.04389147117,12466.571555158345,nan,nan,nan,nan,nan,nan,127079.04739946553,444601.60190523363,721340.537252834,317522.60440779943,276739.18222459295,611982.8622853254,335243.83799243637,nan,118314.65220356618
HD183658,56405.37309547038,56442.775766747014,72536.93185802033,72508.39226599572,12563.406873896916,12563.262998177514,272218.07442926336,739607.3664886071,nan,nan,nan,127014.18441326616,444554.6327752893,721216.745861772,317539.27064697683,276661.0554987307,611997.5084243942,335336.5623591251,442020.92102505325,118260.828164766
HD184768,nan,nan,72529.69491618422,nan,12563.677504349822,12466.884647991606,272239.42182682006,739593.8984131396,nan,nan,52558.249270389606,nan,nan,nan,317633.62753940397,276657.4405752126,611966.4342029428,335309.15153930563,nan,118232.93116929369
HD189567,56386.368856736066,56396.0964213777,72511.20656591757,72509.3151398793,12496.679618341446,12503.78107742457,272252.25182212103,739584.2833407262,704330.2515146716,756882.3029691146,52552.37176817809,126950.27733018815,444513.43066337786,721203.8920277964,317562.21720575314,276691.39785344625,612018.7068487208,335326.83802063344,442063.0522655167,118233.97463347632
HD189625,56435.70155727472,56492.63500251141,72458.19211404145,72505.58821298211,12534.952692789138,12539.038887587216,272229.33113604225,739630.8695381639,704402.5581298036,nan,nan,127022.47094579638,444558.05794626725,721229.5451798831,317537.8174916705,276671.97952209954,612001.1644371114,335330.90863276215,442032.88087194855,118219.72585644087
HD190248,56427.856487197925,56455.24749382522,72501.39940975068,72501.64379708208,12548.920504791726,12563.867661932212,272272.6285431813,739623.0054522227,704422.8189985896,756957.1011903846,52534.40179214569,127024.44641976107,444598.6421850874,721220.3890082652,317574.41679718427,276621.8890575642,611933.2478109958,335311.2604756267,442107.7939735673,118234.04279987376
HD19467,56403.703514277004,56385.952518719634,72513.99183515676,72495.35841257943,12542.03006337477,12491.49056904169,272259.990764117,739583.3411525477,704345.1480198196,756888.6865181143,52546.439509420896,127040.1594704813,444562.93609763816,721218.5911520701,317520.9847431329,276656.4187975083,611959.8470140387,335301.6222743437,442085.360232463,118257.24343556403
HD196761,56363.02178681297,56380.649623078585,72514.32275325731,72504.93918506724,12541.127923505115,12561.574695874986,272239.2235404401,739604.8448334961,704353.842342426,756921.9961685212,52566.826748134954,126832.8113099811,444423.0384602453,721182.4769502826,317597.7530662235,276749.725549207,612103.8419665035,335350.1678736915,442061.6254344729,118204.34940426011
HD197818,56398.92794412131,56389.65947232446,72512.21282227394,72563.08655543994,12552.65930249091,12435.36486140152,272216.5806488729,nan,nan,nan,52572.31630671621,127054.62263616014,444551.82233547146,721274.8507758355,317497.2495821816,276723.2752530488,612022.0563054476,335298.93901109666,nan,118360.54364287651
HD199960,56448.16029164122,56471.59962413705,72496.40412162332,72494.3599247459,12519.199452961679,12511.031576337475,272235.06476168794,739568.0532923967,704377.1461433029,756917.92760825,52540.109967565266,127053.41671010545,444613.0051207939,721221.1579569461,317563.5626365424,276614.5018039242,611916.6687904225,335303.46625190316,442043.4395044281,118278.79060174769
HD203432,56451.589954242096,56473.983843707545,72506.27745704146,72522.75657715023,12576.331137267884,12548.412689346576,272258.40762418177,739610.6530105545,nan,nan,52507.05251243818,127015.8611781918,444580.9335892972,721222.5878130054,317562.3445511714,276642.97913058964,611942.0531114351,335316.4151961501,442077.19116364093,118237.21842115067
HD20407,56390.22367347084,56387.681056311594,72493.74576886577,72527.53579988204,12475.360540701304,12534.557635326688,272215.6866983102,739553.7621500423,704310.7266676952,756856.139520876,52555.99894500915,126940.79503322337,444499.24113013654,721162.9020756952,317554.55407224485,276670.383614984,612016.0140556438,335348.33070274803,442014.0739886865,118244.59074245077
HD204385,56419.9581423954,56475.61967592026,72508.90290765328,72493.89338270148,12435.960947120158,12485.802115620812,272194.16288664984,739562.6189548187,704344.5842813887,756894.8489712254,52550.05112803694,127011.78612673552,444584.3748394255,721179.3925176307,317569.6436487503,276597.0898148971,611920.5641440202,335322.5218922209,441982.63363910315,118317.9364877117
HD205536,56399.41414948996,56399.603813510905,72539.9719202915,72536.31167829136,12524.214116882195,12567.47303918068,272251.8328453861,739611.1626327891,704377.3249773476,756950.3312140952,52569.90440626054,126961.54976161831,444495.2880879255,721186.222927836,317552.5601756043,276691.35645509703,612028.4204440368,335336.73838436365,442084.80394037376,118210.72435384264
HD20619,56377.33769931629,56400.74606299602,72511.65720537752,72510.32873904966,12523.620414878244,12520.234814838703,272224.11671729764,739597.6350887549,704338.6445721119,756886.6177644767,52548.953981788305,126889.72225615605,444460.746570436,721196.3450594521,317594.1471334473,276733.338543068,612075.6906958112,335336.09531468817,442025.47848152346,118207.49531323892
HD2071,56387.3791299712,56416.914734900776,72490.58306242396,72560.22178377847,12520.030210229177,12486.142333898426,272238.00822929025,739607.3041241829,704357.2664723684,756905.071137545,52545.87149570975,126919.24641978806,444497.06925019453,721199.7837274111,317576.77362537564,276700.35003021604,612032.5205843118,335329.2760320874,442034.96870754095,118225.5838421498
HD207129,56418.164084121905,56432.406536518276,72501.82396305885,72493.79042790415,12484.101004513872,12499.356685260149,272209.3093996385,739578.4280619742,704333.8681361668,756888.5962596966,52554.34498641955,126983.3194016023,444540.42946993804,721210.1624188592,317558.47918618197,276670.5155598482,611984.3737344939,335315.9343386206,442009.6369539119,118268.21499586604
HD20766,56393.526175092215,56407.43968135523,72513.64927813712,72541.79592569865,12513.056195926378,12550.98787632173,272235.1748760554,739597.187408038,nan,756914.6989502421,nan,126910.53776338272,444482.7760024036,721225.1348031579,317577.6420713271,276742.8394798429,612066.7220493822,335326.0373145059,442054.4332268771,118206.5732979664
HD20782,56401.79896728471,56414.9321819578,72502.61172687504,72497.29670470211,12482.070671459074,12510.904798339385,272193.3110873668,739585.2721147605,704346.8139543993,756895.1481688773,52555.73644882699,126978.54755240065,444531.2899255351,721216.0135772767,317543.66466540826,276695.838008061,612021.9556406249,335329.04320240254,442031.64956123213,118210.23450391564
HD20807,56397.3662348399,56397.14176379678,72497.57536164975,72509.21840388038,12503.597396980213,12501.430791291072,272220.032180445,739570.3878615946,704328.4054457886,756881.6603948531,52552.254812617444,126949.23179081781,444519.3997126418,721193.7294717114,317569.638244345,276673.34006585885,612007.3074070842,335329.35331579566,442024.1807031343,118242.3868713423
HD208704,56409.573122593814,56420.0360297927,72530.59097656797,72478.56357922252,12498.652169871784,12516.232503150188,272221.9247409473,739583.878442437,704351.1994060001,756894.8677126172,52544.19879252179,127006.33757741518,444570.68220536195,721222.0074710657,317545.31599271495,276649.513342997,611983.5525114345,335333.43218273355,442023.1050671406,118251.12850780463
HD210918,56398.14708139592,56406.85320864173,72508.94627040571,72489.60756455235,12505.906975864142,12526.060036010618,272255.08609083603,739587.5995374885,704341.4341526508,756889.6803241249,52547.883985873064,126979.17902207891,444557.0388927996,721217.4069574057,317577.02285823587,276661.9374977071,611988.5732224155,335322.9143925395,442059.55891399423,118222.88551651778
HD211415,56397.56593492606,56406.92054882169,72490.98476782904,72495.72605547035,12488.133528302824,12499.924675866629,272227.07212473656,739571.3287641263,704327.7331598655,756876.0059268737,52549.05931222352,126981.49058928773,444539.0121520564,721201.4087086574,317565.7541412277,276663.2743618318,611987.0859885688,335325.2536750074,442030.78717213514,118297.62987464007
HD212708,56435.47387177892,56489.43253547058,72523.09284406283,nan,12613.768909781038,12521.16050462014,272274.58267840534,739583.9054725266,704424.2623307622,756952.5135215056,52528.329101089184,127043.26195606853,444599.93175427656,721237.1912530756,317556.71969135955,276637.5062488035,611913.1733583437,335275.8249803025,442098.45664836443,118167.00073899762
HD213575,56394.66530831054,56394.75149571757,72546.28057179015,72496.14418931009,12492.607487309877,12504.513323231462,272299.7979402364,739587.460164741,704343.9211701296,756889.2761755988,52544.68406802414,126974.4950065002,444591.47008681047,721255.7891916673,317613.2238136478,276672.9235542105,611945.8844939468,335287.3905626207,442121.5931844142,118251.9129971259
HD217014,56429.66357758161,56453.40968952367,72509.45777979847,72500.48159043016,12526.56606856331,12521.050444547489,272240.16429559526,739589.5963277323,704389.0264628675,756920.928229202,52532.77449739908,127019.53389937013,444589.24178210716,721224.1169740903,317569.6531808524,276634.79564592877,611952.5997800053,335317.74540267786,442055.76723897265,118247.33939777389
