star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD1581,70083.42375901915,70068.68125557793,nan,717381.0789274164,448597.84244201746,533493.1826665364,533459.5750118155,670399.882365269,558413.7303972634,71352.33510104554,421474.10968055367,350122.29125852254,454486.5176117615,510668.3381931612,593088.8062260548,176086.39672436623,208026.72906380074,50261.08672386392,147747.3963074322,368170.74158928107,437355.74876920145,458039.05988909595,14737.89339762016,112205.31770218002,332609.880939959,332625.45406600204,97481.9416584531,119285.62309469059
HD161612,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD171665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD172051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177565,70017.3795542492,69993.10758524293,456343.7639301933,717443.1223552284,448612.0361659016,533578.571361978,533520.3701394225,670437.8312292023,558422.4532422576,71431.74842591936,421513.2162124679,350079.1652811463,454554.89119295665,510713.1249781788,593059.7417742293,176029.189756718,208004.32965680188,50422.95539482377,147855.23584400106,368312.44677958224,437503.4252010572,458183.20172272035,14822.29534055152,112209.62152684445,332655.53136736766,332667.01497278974,97402.0847194202,119259.77874694802
HD1835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD183658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD184768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD189567,70027.58209334307,70000.97742567764,456328.5939026394,717394.7491261509,448628.7396490863,533519.1593894454,533574.541760077,670465.5838697216,558408.1560141982,71381.5061421884,421520.4709564833,350142.4174792926,454515.00308565056,510725.585992692,593076.1338387483,176059.9452174713,207977.5631702959,50284.94827866614,147759.2432069175,368174.96298887767,437375.9625903636,458010.93201465474,14789.715639195394,112196.03486457984,332599.53926065087,332659.58164468314,97446.73756171313,119269.84141154497
HD189625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD190248,69989.68486362675,69954.83357088098,456333.13251066045,717499.2677240482,448557.2234283815,533586.3236122694,533559.9976188163,670503.4065190366,558335.229587243,71385.03601632928,421391.3803828489,350006.3803055282,454600.9504601987,510777.74112627667,593068.4945742923,176034.5574714492,208022.39793898264,50516.07329085117,147878.45747051563,368376.5344054451,437531.93084361893,458182.43435127876,14920.521757473121,112218.72479525355,332678.8099892473,332710.1498767765,97317.80523859206,119208.04239491206
HD19467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD196761,69973.28470640826,69957.70199928046,456374.6620934393,717403.3748158708,448660.20572376606,533502.9241645668,533515.4685046296,670395.1781329626,558501.5120721757,71468.83677137428,421625.61954150937,350154.560464317,454496.75371553726,510625.79670164624,593038.9329998445,175997.69698409014,207995.1338694181,50389.18447253274,147846.05736472667,368307.1641045222,437464.8850519975,458235.27743145596,14795.788414403205,112210.67046293146,332627.5380475788,332629.89793963917,97423.08764536316,119253.43445764881
HD197818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD199960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
