star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD154417,70107.09989093119,70127.7450163512,456310.6140424589,717496.3231476082,448214.2326921612,533057.0085544538,533000.879598228,670158.4716919356,558334.0549037217,71271.73449468783,421296.5610024873,350015.8402102852,454326.05268243677,510720.56224589574,593046.1359254326,176135.16460871208,208156.64150390888,50356.32006065894,147782.8671872996,368318.0860063687,437424.0478731601,457988.5073566549,14864.558989961233,112215.24278206255,332735.16937200766,332811.0205888601,97462.0217809446,119283.44234312943
HD157338,70096.37897568528,70093.01261644237,456363.5955467069,717416.4886669561,448628.27038380574,533572.4360053898,533440.2548898391,670468.9686071649,558427.2986369797,71312.53403046484,421431.65292607935,350125.8748896259,454423.4536085461,510570.56113733735,593153.3892708715,176105.98653470044,208037.8047607625,50275.76378020469,147751.60897376295,368178.9985115863,437364.83193316177,458047.5034134813,14795.589892655942,112200.3600089677,332628.92173190805,332685.8173335812,97479.02516506647,119281.48426500325
HD157347,70013.615115863,69995.63758237353,456338.7295715205,717453.3808385121,448606.22672520136,533522.8306710589,533495.7000723827,670434.5420734124,558448.0718966405,71400.29273234609,421507.6617898308,350098.44008297025,454520.07891234313,510695.05585243675,593071.4404467861,176038.58098684254,208017.873829918,50371.967386693046,147830.50892267897,368279.64851842524,437478.85714730533,458161.8604923712,14803.373115404936,112224.31746746176,332653.61552814813,332657.02904085646,97415.5142089544,119270.07308114518
HD1581,70082.23382359876,70064.26455495752,nan,717400.7363727544,448583.75773547584,533475.2943442093,533445.2155766865,670409.3268132989,558440.2114877311,71346.78784427793,421477.63881322066,350130.74086855876,454454.08912853606,510627.4660591024,593109.927349371,176093.6328255498,208025.53159429214,50269.82892329379,147757.82487781267,368172.3793398181,437362.87501676823,458059.8425499344,14734.487184228203,112205.711335717,332615.1262374196,332616.723742518,97480.4741491571,119286.67532917949
HD161612,70000.34734802459,69973.55772711661,456342.81195782527,717472.9584550525,448603.18232206855,533579.7537330794,533522.0987505196,670443.3621907993,558466.2822007727,71448.38939705823,421537.50687928736,350102.0302246988,454556.9734005006,510720.6882072501,593080.6466726025,176036.44871215711,208016.89836704827,50447.15470347421,147881.45665781788,368344.84581314557,437536.77461153216,458238.7012081489,14799.0159656531,112229.25032688068,332685.17613728397,332677.40826451365,97412.40642440418,119243.63769533749
HD168443,70024.32071455989,69981.66241563136,456312.6043331917,717458.2671449378,448599.9689374191,533573.1793628542,533572.8184993761,670479.3104689779,558348.1927084362,71413.24093633486,421443.4351352812,350030.7213854681,454564.9175219491,510713.47928839887,593116.7802638969,176079.4803031601,208021.76235878002,50418.6476363181,147813.27303561295,368275.3810071943,437468.5220285597,458025.1564503881,14879.110164991234,112235.07255277218,332688.95964237145,332673.4282938726,97453.70178056139,119245.77917724807
HD168871,70117.12732656562,70076.61348097201,456390.89249968046,717431.9634859542,448570.4149077899,533601.4910399629,533341.5695365414,670402.0866761259,558442.4840351607,71306.14096944695,421403.5965581974,350081.6561064252,454436.2563347058,510701.95937804936,593105.4959594978,176091.26769830842,208058.15469998794,50337.833610402144,147768.1391502593,368188.31450852036,437389.69258134754,458111.70016040094,14726.31745641131,112217.35837825786,332646.178398495,332594.0935256077,97433.25851290431,119259.15617845896
HD171665,70001.38907359797,69941.47753592044,456277.6980114058,717387.5826982816,448610.7914444954,533514.9445713949,533509.6049108154,670401.9299617185,558437.9733266348,71419.6824879503,421558.0580607097,350114.5035955525,454523.0819681242,510691.4977179034,593077.6771843946,176053.39731631897,208050.5810776136,50405.111268819244,147845.26993244808,368224.2194628123,437475.6434999947,458264.5059056454,14753.16352497201,112209.167104162,332637.2419710933,332630.8300152042,97434.49977944068,119280.10487894012
HD172051,70016.821721055,69994.14041164766,456336.12521120545,717410.296119626,448665.8273267841,533518.0050516588,533492.681954977,670402.4605772551,558528.1942571624,71460.79880314582,421630.5869982419,350168.33468103607,454517.57238833496,510662.8413731595,593067.3263509378,176036.54404430382,207996.37326572955,50369.51985545524,147818.41808122172,368227.59395956417,437455.62491426314,458142.54107140424,14743.912361036817,112210.65337505707,332632.88827727037,332607.4131054969,97468.77835150102,119246.87167485968
HD177409,69935.14801876446,70089.26809197165,456400.8099119123,717443.2121777057,448617.0744927053,533737.5563536783,533654.7061241806,670523.73261744,558387.504675541,71344.03959036012,421518.43156041316,350174.42126261035,454264.1661838612,510701.4061489947,593028.6133022093,176059.22567407353,208081.8927140778,50230.31178215531,147736.7553670144,368197.25806040084,437345.61603383266,458077.9262626088,nan,112198.80558553083,332614.19742115185,332614.74275274115,nan,119376.96195134798
HD177565,69995.02484733424,69987.25428686025,456337.8609650853,717462.4460640235,448637.76275704446,533591.9871045194,533550.3343710507,670478.9784493647,558450.4226886885,71424.53641811825,421521.1698267246,350096.2076817495,454554.647048224,510685.6710740102,593072.6439199139,176038.03260659412,208004.0055465447,50431.4560571992,147861.46757156804,368313.5402631802,437517.82978272194,458208.925267114,14817.778786562636,112218.35737264145,332662.7269136868,332651.6011707618,97392.83850615022,119255.26131933689
HD1835,nan,nan,nan,nan,448288.5231138961,533418.8684565052,533317.9010747742,670153.2580258797,558077.2924292327,71399.94427976474,421241.88892037736,349841.9739090772,454408.8194567803,510576.98787476926,nan,nan,nan,50522.378743271314,147935.8999436052,nan,437494.8992568815,nan,14821.616238339806,112260.07369442219,nan,nan,97504.66741581711,nan
HD183658,70011.07469119666,70035.89693974241,456345.94357100775,717452.2581632633,448641.0063582944,533581.2861646829,533554.8393446014,670488.7161880194,558399.5512990705,71364.00612239416,421458.41406955244,350116.870061318,454535.84906192886,510755.73693000525,593092.7446358184,176117.8706187676,208014.01162350966,50372.48426819938,147816.02888872699,368246.8765567565,437446.0407639698,458104.7517603319,14832.668976674358,112229.9062045701,332647.42017857207,332648.05871681584,97391.23559207964,119277.39149421659
HD184768,70069.65970158392,69980.89834063457,456305.2171456141,717419.685552385,448552.9849743343,533554.9243443203,533527.930977362,670481.1528904359,558402.601489553,71329.20526365066,421449.33295469376,350120.1569681713,454405.4834920116,510639.22688902146,593156.2118192,176083.6684528373,208014.63446007457,50380.97530497937,nan,368173.49163312424,437417.3205800148,458062.66582389415,14786.689133180056,nan,332675.7036191942,332653.3907254994,97461.2179278549,119221.40750199548
HD189567,70038.75291164154,70016.19289562159,456335.5030645125,717406.6343930132,448635.2634206389,533525.9338679794,533507.1082682789,670431.3671315686,558496.4672203354,71415.61053294191,421569.72563477024,350153.0941498577,454515.05275123037,510664.6262347285,593096.731408227,176078.07932696323,208005.78652502052,50310.63655096165,147777.26143637503,368196.2341207333,437396.3273058907,458026.2283852201,14771.969507485346,112208.21135931017,332617.4140014801,332615.90321281314,97447.57014661071,119263.011623574
HD189625,70065.3989063039,70046.71321158581,456332.7819863921,717488.2964935929,448435.2873399257,533333.9810410463,533304.5854463896,670292.0848807582,558370.7682592749,71375.63804978304,421392.8704777134,350017.0831021568,454573.0047053482,510687.1740661479,593097.9237183791,176059.75703168966,208066.65126511813,50393.92718380841,147807.05808942692,368350.97311630606,437478.7601416657,458253.28035194427,14808.519972570404,112192.40027146485,332667.28368400293,332716.2619891003,97423.76684924493,119279.34419883924
HD190248,69980.8696003387,69955.51814190479,456318.41653490474,717508.4782465523,448545.3321268692,533576.5156394813,533543.8490756166,670490.5558345225,558369.10968402,71392.91360154435,421422.02768651163,350028.72302957554,454603.11965440965,510762.77396568307,593084.1919463713,176042.70379898485,208031.41873743045,50514.913346357826,147880.45427552128,368376.7379219606,437540.2436990852,458196.9597935673,14912.781680729297,112222.95600494585,332689.05019501894,332705.1292211872,97328.10802665948,119211.94791690964
HD19467,70023.84675495463,70010.97035827873,456328.82575691724,717424.929706847,448633.20020859246,533514.2743979895,533604.0156335724,670518.5599885747,558476.4668128752,71393.83076969242,421565.3702642759,350190.51782166405,454478.2538902813,510644.46154821565,593158.6052630927,176088.82163435363,208042.9804281261,50316.84328264465,147768.50967049986,368196.13202336675,437389.4832471703,457989.7960322219,14824.075307302057,112209.69298652474,332615.68098900904,332649.88470882684,97412.60644939383,119257.62274992967
HD196761,69965.89236393975,69953.85008120103,456349.3006511389,717405.7470900761,448663.266057137,533566.2374212662,533517.3024145762,670403.3442803859,558552.4393853564,71486.13200981742,421660.7763667505,350170.93638092064,454473.0962846695,510659.77135298785,593042.5448621376,175992.2673620224,207989.46117620455,50430.90717888433,147869.65507941,368288.5410468684,437499.8360187385,458271.38353913266,14831.110336473868,112219.01942690504,332621.18728003185,332645.789121746,97416.29058469868,119233.37011839477
HD197818,70081.55426341192,70058.97619196509,456370.8561554447,717426.8991532695,448714.9186874868,533503.5502773093,533593.2677960561,670346.7189962147,558489.4840706291,71473.08750802082,421735.9864021424,350262.9282622305,454582.17579850525,510684.58278729225,593132.1944772808,176089.4648295399,207982.33027747952,50346.9759919116,147860.36700175423,368243.4097343238,437446.1128499121,458091.185723368,14715.306125587613,112227.36093768776,332546.4314768083,332673.49933041265,nan,119248.31502284794
